timestamp,pupil_left,pupil_right,validity_left,validity_right,event
9380947.35,4.01404,3.61247,0,0,gray
9380964.016,4.02144,3.61229,0,0,gray
9380980.683,4.026,3.62204,0,0,gray
9380997.35,4.03061,3.62796,0,0,gray
9381014.016,4.0405,3.62521,0,0,gray
9381030.683,4.0508,3.62822,0,0,gray
9381047.35,4.04819,3.62798,0,0,gray
9381064.016,4.05197,3.63588,0,0,gray
9381080.683,4.05592,3.64021,0,0,gray
9381097.35,4.05663,3.64149,0,0,gray
9381114.016,4.05951,3.64407,0,0,gray
9381130.683,4.06958,3.64102,0,0,gray
9381147.35,4.06819,3.64728,0,0,gray
9381164.016,4.07372,3.64828,0,0,gray
9381180.683,4.07614,3.65112,0,0,gray
9381197.35,4.07623,3.65604,0,0,gray
9381214.016,4.08138,3.65718,0,0,gray
9381230.683,4.08418,3.658,0,0,gray
9381247.35,4.08784,3.65675,0,0,gray
9381264.016,4.09676,3.6615,0,0,gray
9381280.683,4.0993,3.66457,0,0,gray
9381297.35,4.10185,3.66451,0,0,gray
9381314.016,4.104,3.66794,0,0,gray
9381330.683,4.10487,3.66777,0,0,gray
9381347.35,4.11104,3.67046,0,0,gray
9381364.016,4.10912,3.67169,0,0,gray
9381380.683,4.11284,3.6716,0,0,gray
9381397.35,4.10507,3.67671,0,0,gray
9381414.016,4.10432,3.67836,0,0,gray
9381430.683,4.10614,3.68152,0,0,gray
9381447.35,4.11043,3.67897,0,0,gray
9381464.016,4.10962,3.68118,0,0,gray
9381480.683,4.11548,3.68404,0,0,gray
9381497.35,4.11064,3.69,0,0,gray
9381514.016,4.10992,3.69307,0,0,gray
9381530.683,4.1153,3.69402,0,0,gray
9381547.35,4.10901,3.69302,0,0,gray
9381564.016,4.11404,3.69339,0,0,gray
9381580.683,4.11217,3.69095,0,0,gray
9381597.35,4.11569,3.6981,0,0,gray
9381614.016,4.11478,3.69983,0,0,gray
9381630.683,4.11507,3.69797,0,0,gray
9381647.35,4.11082,3.70512,0,0,gray
9381664.016,4.11159,3.70134,0,0,gray
9381680.683,4.11394,3.70247,0,0,gray
9381697.35,4.11308,3.70532,0,0,gray
9381714.016,4.11365,3.70425,0,0,gray
9381730.683,4.10843,3.70442,0,0,gray
9381747.35,4.11058,3.70213,0,0,gray
